"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Julio Jones",9300,"Hou@Atl 01:00PM ET",37.000,"Atl"
"WR","Odell Beckham Jr.",9100,"NYG@Buf 01:00PM ET",20.300,"NYG"
"WR","Dez Bryant",8200,"Dal@NO 08:30PM ET",9.800,"Dal"
"WR","Demaryius Thomas",8100,"Min@Den 04:25PM ET",19.600,"Den"
"QB","Aaron Rodgers",7900,"GB@SF 04:25PM ET",27.747,"GB"
"RB","Adrian Peterson",7800,"Min@Den 04:25PM ET",19.667,"Min"
"QB","Andrew Luck",7800,"Jax@Ind 01:00PM ET",16.873,"Ind"
"WR","Emmanuel Sanders",7700,"Min@Den 04:25PM ET",19.300,"Den"
"RB","Jamaal Charles",7600,"KC@Cin 01:00PM ET",25.400,"KC"
"WR","A.J. Green",7600,"KC@Cin 01:00PM ET",24.167,"Cin"
"QB","Drew Brees",7400,"Dal@NO 08:30PM ET",16.800,"NO"
"WR","Randall Cobb",7400,"GB@SF 04:25PM ET",24.233,"GB"
"WR","DeAndre Hopkins",7300,"Hou@Atl 01:00PM ET",23.400,"Hou"
"QB","Peyton Manning",7200,"Min@Den 04:25PM ET",16.667,"Den"
"RB","Matt Forte",7100,"Oak@Chi 01:00PM ET",17.500,"Chi"
"QB","Eli Manning",7000,"NYG@Buf 01:00PM ET",16.220,"NYG"
"RB","Arian Foster",7000,"Hou@Atl 01:00PM ET",0,"Hou"
"QB","Cam Newton",7000,"Car@TB 01:00PM ET",24.933,"Car"
"WR","Keenan Allen",7000,"Cle@SD 04:05PM ET",25.833,"SD"
"QB","Matt Ryan",6900,"Hou@Atl 01:00PM ET",21.047,"Atl"
"RB","Eddie Lacy",6900,"GB@SF 04:25PM ET",10.167,"GB"
"QB","Carson Palmer",6800,"StL@Ari 04:25PM ET",24.473,"Ari"
"WR","T.Y. Hilton",6700,"Jax@Ind 01:00PM ET",12.567,"Ind"
"WR","Alshon Jeffery",6600,"Oak@Chi 01:00PM ET",12.800,"Chi"
"WR","Jordan Matthews",6600,"Phi@Was 01:00PM ET",18.033,"Phi"
"WR","Larry Fitzgerald",6500,"StL@Ari 04:25PM ET",30.767,"Ari"
"RB","DeMarco Murray",6500,"Phi@Was 01:00PM ET",14.250,"Phi"
"RB","Jeremy Hill",6500,"KC@Cin 01:00PM ET",7.833,"Cin"
"WR","Mike Evans",6400,"Car@TB 01:00PM ET",10.050,"TB"
"RB","Latavius Murray",6300,"Oak@Chi 01:00PM ET",19.200,"Oak"
"WR","Amari Cooper",6300,"Oak@Chi 01:00PM ET",20.000,"Oak"
"QB","Philip Rivers",6100,"Cle@SD 04:05PM ET",17.633,"SD"
"WR","Brandin Cooks",6100,"Dal@NO 08:30PM ET",11.667,"NO"
"QB","Sam Bradford",6000,"Phi@Was 01:00PM ET",12.607,"Phi"
"RB","Mark Ingram",6000,"Dal@NO 08:30PM ET",18.300,"NO"
"QB","Andy Dalton",5900,"KC@Cin 01:00PM ET",25.247,"Cin"
"RB","C.J. Anderson",5900,"Min@Den 04:25PM ET",5.467,"Den"
"WR","DeSean Jackson",5800,"Phi@Was 01:00PM ET",0.000,"Was"
"WR","Jeremy Maclin",5800,"KC@Cin 01:00PM ET",16.933,"KC"
"QB","Tyrod Taylor",5800,"NYG@Buf 01:00PM ET",23.053,"Buf"
"QB","Teddy Bridgewater",5700,"Min@Den 04:25PM ET",10.600,"Min"
"QB","Alex Smith",5600,"KC@Cin 01:00PM ET",16.753,"KC"
"RB","LeSean McCoy",5600,"NYG@Buf 01:00PM ET",11.967,"Buf"
"WR","Sammy Watkins",5600,"NYG@Buf 01:00PM ET",7.633,"Buf"
"QB","Jay Cutler",5500,"Oak@Chi 01:00PM ET",12.650,"Chi"
"QB","Colin Kaepernick",5500,"GB@SF 04:25PM ET",16.827,"SF"
"RB","Joseph Randle",5500,"Dal@NO 08:30PM ET",17.233,"Dal"
"WR","Allen Robinson",5500,"Jax@Ind 01:00PM ET",17.000,"Jax"
"TE","Greg Olsen",5400,"Car@TB 01:00PM ET",17.167,"Car"
"QB","Kirk Cousins",5400,"Phi@Was 01:00PM ET",13.833,"Was"
"RB","Andre Ellington",5400,"StL@Ari 04:25PM ET",13.600,"Ari"
"WR","James Jones",5300,"GB@SF 04:25PM ET",20.300,"GB"
"WR","Pierre Garcon",5300,"Phi@Was 01:00PM ET",13.033,"Was"
"TE","Travis Kelce",5300,"KC@Cin 01:00PM ET",19.133,"KC"
"QB","Robert Griffin III",5300,"Phi@Was 01:00PM ET",0,"Was"
"QB","Derek Carr",5300,"Oak@Chi 01:00PM ET",19.013,"Oak"
"RB","Devonta Freeman",5200,"Hou@Atl 01:00PM ET",22.967,"Atl"
"QB","Josh McCown",5100,"Cle@SD 04:05PM ET",13.450,"Cle"
"QB","Brandon Weeden",5100,"Dal@NO 08:30PM ET",7.950,"Dal"
"QB","Nick Foles",5100,"StL@Ari 04:25PM ET",12.987,"StL"
"WR","John Brown",5100,"StL@Ari 04:25PM ET",11.100,"Ari"
"RB","Carlos Hyde",5100,"GB@SF 04:25PM ET",17.467,"SF"
"QB","Blake Bortles",5100,"Jax@Ind 01:00PM ET",16.973,"Jax"
"QB","Jameis Winston",5100,"Car@TB 01:00PM ET",16.407,"TB"
"QB","Matt Hasselbeck",5000,"Jax@Ind 01:00PM ET",0,"Ind"
"QB","Matt Cassel",5000,"Dal@NO 08:30PM ET",0.000,"Dal"
"QB","Derek Anderson",5000,"Car@TB 01:00PM ET",0,"Car"
"QB","Kellen Clemens",5000,"Cle@SD 04:05PM ET",6.520,"SD"
"QB","Shaun Hill",5000,"Min@Den 04:25PM ET",0,"Min"
"QB","Drew Stanton",5000,"StL@Ari 04:25PM ET",-0.300,"Ari"
"QB","Luke McCown",5000,"Dal@NO 08:30PM ET",4.800,"NO"
"QB","Brian Hoyer",5000,"Hou@Atl 01:00PM ET",11.440,"Hou"
"QB","Chad Henne",5000,"Jax@Ind 01:00PM ET",0,"Jax"
"QB","Joe Webb",5000,"Car@TB 01:00PM ET",0.000,"Car"
"QB","Mark Sanchez",5000,"Phi@Was 01:00PM ET",0,"Phi"
"QB","Chase Daniel",5000,"KC@Cin 01:00PM ET",0,"KC"
"QB","Colt McCoy",5000,"Phi@Was 01:00PM ET",0,"Was"
"QB","Scott Tolzien",5000,"GB@SF 04:25PM ET",0,"GB"
"QB","Thaddeus Lewis",5000,"Phi@Was 01:00PM ET",0,"Phi"
"QB","Case Keenum",5000,"StL@Ari 04:25PM ET",0,"StL"
"QB","Jimmy Clausen",5000,"Oak@Chi 01:00PM ET",3.580,"Chi"
"QB","Ryan Mallett",5000,"Hou@Atl 01:00PM ET",13.967,"Hou"
"QB","Kellen Moore",5000,"Dal@NO 08:30PM ET",0,"Dal"
"QB","Austin Davis",5000,"Cle@SD 04:05PM ET",0,"Cle"
"QB","EJ Manuel",5000,"NYG@Buf 01:00PM ET",-0.200,"Buf"
"QB","Blaine Gabbert",5000,"GB@SF 04:25PM ET",0,"SF"
"QB","Sean Renfree",5000,"Hou@Atl 01:00PM ET",0,"Atl"
"QB","Mike Glennon",5000,"Car@TB 01:00PM ET",0,"TB"
"QB","Ryan Nassib",5000,"NYG@Buf 01:00PM ET",0,"NYG"
"QB","Ryan Griffin",5000,"Car@TB 01:00PM ET",0,"TB"
"QB","Matt McGloin",5000,"Oak@Chi 01:00PM ET",11.680,"Oak"
"QB","Matt Barkley",5000,"StL@Ari 04:25PM ET",0,"Ari"
"QB","Aaron Murray",5000,"KC@Cin 01:00PM ET",0,"KC"
"QB","Brock Osweiler",5000,"Min@Den 04:25PM ET",0,"Den"
"QB","AJ McCarron",5000,"KC@Cin 01:00PM ET",0,"Cin"
"QB","David Fales",5000,"Oak@Chi 01:00PM ET",0,"Chi"
"QB","Garrett Grayson",5000,"Dal@NO 08:30PM ET",0,"NO"
"RB","Giovani Bernard",5000,"KC@Cin 01:00PM ET",15.333,"Cin"
"QB","Trevor Siemian",5000,"Min@Den 04:25PM ET",0,"Den"
"QB","Sean Mannion",5000,"StL@Ari 04:25PM ET",0,"StL"
"QB","Brett Hundley",5000,"GB@SF 04:25PM ET",0,"GB"
"QB","Johnny Manziel",5000,"Cle@SD 04:05PM ET",13.380,"Cle"
"QB","Taylor Heinicke",5000,"Min@Den 04:25PM ET",0,"Min"
"WR","Donte Moncrief",5000,"Jax@Ind 01:00PM ET",19.333,"Ind"
"WR","Vincent Jackson",4900,"Car@TB 01:00PM ET",9.833,"TB"
"RB","Melvin Gordon",4900,"Cle@SD 04:05PM ET",8.200,"SD"
"WR","Anquan Boldin",4800,"GB@SF 04:25PM ET",9.733,"SF"
"RB","Frank Gore",4700,"Jax@Ind 01:00PM ET",11.200,"Ind"
"RB","Jonathan Stewart",4700,"Car@TB 01:00PM ET",8.067,"Car"
"RB","Ronnie Hillman",4700,"Min@Den 04:25PM ET",5.367,"Den"
"WR","Davante Adams",4700,"GB@SF 04:25PM ET",6.067,"GB"
"WR","Victor Cruz",4600,"NYG@Buf 01:00PM ET",0,"NYG"
"WR","Michael Crabtree",4600,"Oak@Chi 01:00PM ET",15.133,"Oak"
"WR","Percy Harvin",4600,"NYG@Buf 01:00PM ET",14.800,"Buf"
"RB","Danny Woodhead",4600,"Cle@SD 04:05PM ET",14.967,"SD"
"WR","Torrey Smith",4600,"GB@SF 04:25PM ET",10.367,"SF"
"TE","Tyler Eifert",4600,"KC@Cin 01:00PM ET",16.433,"Cin"
"WR","Marques Colston",4500,"Dal@NO 08:30PM ET",8.500,"NO"
"RB","Darren Sproles",4500,"Phi@Was 01:00PM ET",15.033,"Phi"
"WR","Andre Johnson",4500,"Jax@Ind 01:00PM ET",4.033,"Ind"
"RB","Chris Johnson",4500,"StL@Ari 04:25PM ET",13.967,"Ari"
"TE","Martellus Bennett",4500,"Oak@Chi 01:00PM ET",10.267,"Chi"
"WR","Terrance Williams",4500,"Dal@NO 08:30PM ET",9.800,"Dal"
"WR","Travis Benjamin",4500,"Cle@SD 04:05PM ET",22.300,"Cle"
"WR","Rueben Randle",4500,"NYG@Buf 01:00PM ET",11.467,"NYG"
"TE","Jordan Reed",4500,"Phi@Was 01:00PM ET",16.367,"Was"
"TE","Julius Thomas",4500,"Jax@Ind 01:00PM ET",0,"Jax"
"WR","Nelson Agholor",4500,"Phi@Was 01:00PM ET",2.533,"Phi"
"RB","Matt Jones",4500,"Phi@Was 01:00PM ET",12.400,"Was"
"TE","Jason Witten",4400,"Dal@NO 08:30PM ET",17.033,"Dal"
"WR","Stevie Johnson",4400,"Cle@SD 04:05PM ET",14.433,"SD"
"WR","Mike Wallace",4400,"Min@Den 04:25PM ET",9.000,"Min"
"RB","Doug Martin",4400,"Car@TB 01:00PM ET",7.267,"TB"
"RB","T.J. Yeldon",4400,"Jax@Ind 01:00PM ET",9.067,"Jax"
"RB","Tevin Coleman",4400,"Hou@Atl 01:00PM ET",8.600,"Atl"
"RB","Shane Vereen",4300,"NYG@Buf 01:00PM ET",9.933,"NYG"
"RB","Todd Gurley",4300,"StL@Ari 04:25PM ET",2.400,"StL"
"RB","Rashad Jennings",4200,"NYG@Buf 01:00PM ET",8.100,"NYG"
"WR","Kenny Britt",4200,"StL@Ari 04:25PM ET",12.767,"StL"
"RB","David Johnson",4200,"StL@Ari 04:25PM ET",12.367,"Ari"
"RB","Alfred Morris",4100,"Phi@Was 01:00PM ET",8.733,"Was"
"RB","Isaiah Crowell",4100,"Cle@SD 04:05PM ET",7.367,"Cle"
"WR","Roddy White",4000,"Hou@Atl 01:00PM ET",4.133,"Atl"
"RB","Tre Mason",4000,"StL@Ari 04:25PM ET",4.550,"StL"
"RB","C.J. Spiller",3900,"Dal@NO 08:30PM ET",4.100,"NO"
"RB","Alfred Blue",3900,"Hou@Atl 01:00PM ET",10.267,"Hou"
"WR","Allen Hurns",3900,"Jax@Ind 01:00PM ET",11.933,"Jax"
"TE","Austin Seferian-Jenkins",3900,"Car@TB 01:00PM ET",17.950,"TB"
"RB","Reggie Bush",3800,"GB@SF 04:25PM ET",0.800,"SF"
"RB","James Starks",3800,"GB@SF 04:25PM ET",6.633,"GB"
"RB","Ryan Mathews",3800,"Phi@Was 01:00PM ET",11.533,"Phi"
"WR","Marvin Jones",3800,"KC@Cin 01:00PM ET",12.467,"Cin"
"WR","Eddie Royal",3700,"Oak@Chi 01:00PM ET",5.867,"Chi"
"WR","Malcom Floyd",3700,"Cle@SD 04:05PM ET",9.233,"SD"
"WR","Leonard Hankerson",3700,"Hou@Atl 01:00PM ET",10.267,"Atl"
"WR","Tavon Austin",3700,"StL@Ari 04:25PM ET",9.967,"StL"
"RB","Darren McFadden",3600,"Dal@NO 08:30PM ET",7.067,"Dal"
"WR","Charles Johnson",3600,"Min@Den 04:25PM ET",3.533,"Min"
"RB","Lance Dunbar",3600,"Dal@NO 08:30PM ET",15.600,"Dal"
"RB","Charles Sims",3600,"Car@TB 01:00PM ET",8.967,"TB"
"WR","Nate Washington",3500,"Hou@Atl 01:00PM ET",12.333,"Hou"
"RB","Chris Thompson",3500,"Phi@Was 01:00PM ET",8.567,"Was"
"WR","Cecil Shorts III",3500,"Hou@Atl 01:00PM ET",10.300,"Hou"
"DST","Cardinals ",3400,"StL@Ari 04:25PM ET",17.000,"Ari"
"WR","Ted Ginn Jr.",3400,"Car@TB 01:00PM ET",11.600,"Car"
"RB","Benny Cunningham",3400,"StL@Ari 04:25PM ET",9.300,"StL"
"RB","Karlos Williams",3400,"NYG@Buf 01:00PM ET",14.400,"Buf"
"DST","Broncos ",3300,"Min@Den 04:25PM ET",18.000,"Den"
"DST","Panthers ",3300,"Car@TB 01:00PM ET",10.000,"Car"
"WR","Dwayne Bowe",3300,"Cle@SD 04:05PM ET",0.000,"Cle"
"TE","Charles Clay",3300,"NYG@Buf 01:00PM ET",12.800,"Buf"
"WR","Michael Floyd",3300,"StL@Ari 04:25PM ET",1.667,"Ari"
"RB","Chris Polk",3300,"Hou@Atl 01:00PM ET",3.767,"Hou"
"WR","Cole Beasley",3300,"Dal@NO 08:30PM ET",7.400,"Dal"
"WR","Phillip Dorsett",3300,"Jax@Ind 01:00PM ET",7.100,"Ind"
"WR","Louis Murphy",3200,"Car@TB 01:00PM ET",6.767,"TB"
"WR","Brian Hartline",3200,"Cle@SD 04:05PM ET",6.200,"Cle"
"WR","Brian Quick",3200,"StL@Ari 04:25PM ET",0,"StL"
"TE","Coby Fleener",3200,"Jax@Ind 01:00PM ET",4.200,"Ind"
"TE","Ladarius Green",3200,"Cle@SD 04:05PM ET",14.050,"SD"
"TE","Kyle Rudolph",3200,"Min@Den 04:25PM ET",9.233,"Min"
"TE","Zach Ertz",3200,"Phi@Was 01:00PM ET",5.767,"Phi"
"WR","Brandon Coleman",3200,"Dal@NO 08:30PM ET",7.433,"NO"
"WR","Chris Hogan",3200,"NYG@Buf 01:00PM ET",5.100,"Buf"
"WR","Corey Brown",3200,"Car@TB 01:00PM ET",6.400,"Car"
"WR","Jamison Crowder",3200,"Phi@Was 01:00PM ET",5.133,"Was"
"RB","Josh Robinson",3200,"Jax@Ind 01:00PM ET",3.600,"Ind"
"WR","Jerricho Cotchery",3100,"Car@TB 01:00PM ET",8.300,"Car"
"TE","Gary Barnidge",3100,"Cle@SD 04:05PM ET",11.667,"Cle"
"RB","Jonathan Grimes",3100,"Hou@Atl 01:00PM ET",7.500,"Hou"
"TE","Dwayne Allen",3100,"Jax@Ind 01:00PM ET",5.350,"Ind"
"WR","Mohamed Sanu",3100,"KC@Cin 01:00PM ET",4.433,"Cin"
"RB","Andre Williams",3100,"NYG@Buf 01:00PM ET",4.867,"NYG"
"WR","Robert Woods",3100,"NYG@Buf 01:00PM ET",9.167,"Buf"
"RB","Duke Johnson Jr.",3100,"Cle@SD 04:05PM ET",5.333,"Cle"
"WR","Devin Funchess",3100,"Car@TB 01:00PM ET",2.267,"Car"
"DST","Bills ",3000,"NYG@Buf 01:00PM ET",8.667,"Buf"
"DST","Texans ",3000,"Hou@Atl 01:00PM ET",4.667,"Hou"
"WR","Jason Avant",3000,"KC@Cin 01:00PM ET",0.933,"KC"
"TE","Vernon Davis",3000,"GB@SF 04:25PM ET",6.300,"SF"
"WR","Devin Hester",3000,"Hou@Atl 01:00PM ET",0,"Atl"
"WR","Miles Austin",3000,"Phi@Was 01:00PM ET",1.400,"Phi"
"WR","Andre Caldwell",3000,"Min@Den 04:25PM ET",1.300,"Den"
"RB","Tyler Clutts",3000,"Dal@NO 08:30PM ET",0.000,"Dal"
"WR","Eric Weems",3000,"Hou@Atl 01:00PM ET",0.000,"Atl"
"RB","Jerome Felton",3000,"NYG@Buf 01:00PM ET",0.000,"Buf"
